Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
8,M056501,1.72,1.27,0.24,†,†,†,†
9,M056601,0.88,0.78,0.08,†,†,†,†
10,M056801,1.59,0.91,0,†,†,†,†
14,M057101,2.34,1.92,0,†,†,†,†
1,M017401,0.3,-4.66,0.21,†,†,†,†
4,M017701,0.89,-1.7,0.15,†,†,†,†
6,M017901,1.27,-1.53,0.21,†,†,†,†
9,M018201,0.6,-1.63,0.16,†,†,†,†
11,M018401,1.32,-1.38,0.21,†,†,†,†
12,M018501,1.57,-0.1,0.28,†,†,†,†
13,M018601,0.49,0.41,0.09,†,†,†,†
8,M071201,0.43,0.88,0,-1.26,1.26,†,†
10,M071401,0.52,1.71,0,-1.12,1.12,†,†
1,M021401,1,-0.13,0,†,†,†,†
9,M020501,0.89,-1.03,0,†,†,†,†
15,M021701,1.18,0.39,0,†,†,†,†
3,M071503,0.97,0.32,0.22,†,†,†,†
3,M012431,0.58,-2.12,0.14,†,†,†,†
4,M012531,0.7,-0.28,0.16,†,†,†,†
8,M012931,1.3,0.32,0.24,†,†,†,†
12,N202831,0.82,-2.1,0.21,†,†,†,†
15,M011531,2.17,1,0.08,†,†,†,†
2,M052401,0.53,-0.02,0,†,†,†,†
7,M094501,0.9,0.22,0.15,†,†,†,†
2,M058601,1.05,-0.48,0.08,†,†,†,†
5,M059001,0.75,0.14,0.08,†,†,†,†
7,M059201,0.75,-1.04,0.16,†,†,†,†
11,M059601,1.68,1.09,0.11,†,†,†,†
4,M094901,1.26,-0.35,0.13,†,†,†,†
5,M095001,0.73,-0.23,0,-0.32,0.32,†,†
1,M073701,0.98,0.03,0.24,†,†,†,†
3,M073001,0.97,-1.05,0.21,†,†,†,†
4,M073101,0.75,0.52,0.33,†,†,†,†
7,M073401,0.72,0.7,0,-0.08,0.08,†,†
9,M074001,0.96,0.45,0,0.46,-0.46,†,†
1,M076101,0.48,-1.91,0,0.93,-0.93,†,†
2,M076201,0.52,-0.36,0.15,†,†,†,†
3,M056001,0.92,-0.81,0.13,†,†,†,†
11,M056701,1.86,1.47,0.14,†,†,†,†
3,M017601,0.56,-1.89,0.27,†,†,†,†
7,M018001,1.02,-0.47,0.32,†,†,†,†
17,M019001,0.83,-0.29,0.13,†,†,†,†
7,M071101,0.54,0.55,0,-1.4,1.4,†,†
9,M071301,1.21,1.42,0,0.13,-0.13,†,†
11,M020901,0.63,-0.26,0,†,†,†,†
12,M021001,0.84,-1.03,0,†,†,†,†
17,M021801,1.49,1.31,0,†,†,†,†
6,M012731,0.94,0.02,0.15,†,†,†,†
7,M012831,1.26,-0.9,0.12,†,†,†,†
