Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
8,M094901,1.24,-0.3,0.13,†,†,†,†
9,M095001,0.63,-0.19,†,-0.67,0.67,†,†
14,M056801,1.5,0.94,0,†,†,†,†
3,M071503,0.86,0.18,0.19,†,†,†,†
4,M071601,0.96,-0.12,0.2,†,†,†,†
9,M059001,1.14,0.15,0.14,†,†,†,†
14,M059601,1.54,1.1,0.1,†,†,†,†
5,M021401,1.07,-0.26,0,†,†,†,†
7,M094501,0.78,0.02,0.19,†,†,†,†
11,M056601,1.33,1,0.13,†,†,†,†
12,M056501,1.61,1.13,0.2,†,†,†,†
1,M130901,0.91,-1.15,0.21,†,†,†,†
4,M131301,0.72,0.43,0.23,†,†,†,†
3,M076101,0.56,-1.73,†,0.88,-0.88,†,†
6,M073801,0.71,0.45,†,-1.3,1.3,†,†
1,M012231,0.79,-2.5,0.18,†,†,†,†
2,M012431,0.62,-1.56,0.16,†,†,†,†
3,M073001,1.06,-1.07,0.16,†,†,†,†
5,M073101,0.62,-0.2,0.19,†,†,†,†
14,M092501,0.56,1.11,0.29,†,†,†,†
15,M071201,0.55,0.9,†,-0.89,0.89,†,†
21,M071401,0.34,1.6,†,-4.82,0.74,1.34,2.73
1,M059201,1.02,-1.08,0.17,†,†,†,†
2,M052401,0.51,-0.31,0,†,†,†,†
7,M076201,0.61,0.05,0.25,†,†,†,†
12,M074001,1.32,0.41,†,0.02,-0.02,†,†
2,M058601,0.83,-0.52,0.19,†,†,†,†
1,M125901,1.15,0.74,0.16,†,†,†,†
3,M126301,1.12,-0.24,0.2,†,†,†,†
3,M134601,1.55,0.98,0,†,†,†,†
13,M135301,1.78,0.55,0.22,†,†,†,†
1,M095501,0.86,0.59,0.16,†,†,†,†
2,M095601,1.27,0.5,0.1,†,†,†,†
3,M095101,1.46,0.92,0.2,†,†,†,†
6,M056001,1.09,-0.92,0.14,†,†,†,†
10,M011331,1.32,0.1,0.18,†,†,†,†
4,M095301,0.73,0.81,†,-0.27,0.27,†,†
2,M071502,0.65,0.22,†,-1.16,1.16,†,†
1,M071501,1.11,-0.99,0.15,†,†,†,†
8,M058701,1.08,-1.23,0.19,†,†,†,†
12,M058901,0.75,-0.14,0,†,†,†,†
13,M056701,1.7,1.48,0.18,†,†,†,†
1,M093901,0.95,0.3,0.13,†,†,†,†
2,M094001,0.78,-0.23,0.25,†,†,†,†
4,M094301,0.95,0.83,†,0.68,-0.68,†,†
6,M058501,0.65,-0.21,0.11,†,†,†,†
10,M094401,1.02,-0.74,0.16,†,†,†,†
16,M059501,1.22,1.87,0.28,†,†,†,†
3,M094201,0.65,-0.13,†,0.36,0.08,-0.44,†
14,M094101,1.59,2.03,0.28,†,†,†,†
2,M127601,1.46,0.63,0.25,†,†,†,†
6,M131701,0.49,0.52,0.18,†,†,†,†
10,M127201,1.4,0.21,0.17,†,†,†,†
9,M133201,0.97,2.09,0.05,†,†,†,†
13,M021801,1.46,1.33,0,†,†,†,†
17,M092801,1.37,1.47,0.2,†,†,†,†
1,M125801,0.78,-0.98,0.2,†,†,†,†
12,M133501,1.11,1.13,0.24,†,†,†,†
16,M073901,0.74,1.14,†,-1.6,1.6,†,†
2,M131101,0.64,-0.07,0.2,†,†,†,†
5,M134501,1.29,0.99,0.16,†,†,†,†
9,M128101,0.91,-0.25,0.17,†,†,†,†
6,M073301,0.68,-0.47,0.17,†,†,†,†
7,M021001,0.67,-1.31,0,†,†,†,†
11,M092401,0.84,-0.23,†,1.24,-1.24,†,†
12,M019201,1.47,0.86,0.17,†,†,†,†
20,M076701,1.19,1.45,†,#,#,†,†
9,M020901,0.68,-0.87,0,†,†,†,†
19,M071301,1.03,1.67,†,0.06,-0.06,†,†
10,M092301,0.71,0.31,†,0.41,-0.41,†,†
15,M011931,2.59,1.73,0,†,†,†,†
20,M092901,0.91,1.7,†,#,#,†,†
9,M011731,1.18,-0.08,0.18,†,†,†,†
13,M071101,0.59,0.7,†,-1.44,1.44,†,†
18,M076801,0.86,1.58,†,-0.07,0.07,†,†
1,M055801,0.64,-1.48,0.2,†,†,†,†
17,M059801,1.27,1.99,0,†,†,†,†
4,M059101,1.01,-0.25,0.25,†,†,†,†
16,M053301,1.53,1.59,0,†,†,†,†
2,M132801,0.93,-0.14,0.18,†,†,†,†
5,M131001,1,1.02,0.1,†,†,†,†
9,M126901,2.87,1.47,0.09,†,†,†,†
10,M129301,1.23,-0.27,0.2,†,†,†,†
14,M126201,1.08,-0.14,0.1,†,†,†,†
16,M126801,0.68,0.07,0.19,†,†,†,†
8,M128401,1.09,-1.21,0.17,†,†,†,†
15,M135401,1.19,1.15,0.27,†,†,†,†
18,M135501,0.59,#,†,1.39,-0.01,-0.82,-0.56
1,M129101,0.81,0.61,0.2,†,†,†,†
4,M128601,1.04,-0.64,0.15,†,†,†,†
7,M132601,1.04,-1.03,0.19,†,†,†,†
7,M011631,0.61,-1.16,0.15,†,†,†,†
11,M070901,0.81,0.73,0.11,†,†,†,†
13,M094801,0.76,1.64,0.11,†,†,†,†
5,M071602,0.71,0.54,†,0.19,-0.19,†,†
7,M0716CL,0.52,0.12,†,-0.54,-0.26,0.45,0.36
15,M057001,1.26,1.64,†,†,†,†,†
18,M071801,0.29,-0.29,†,-3.65,3.01,0.64,†
8,M021501,1.22,-0.54,0,†,†,†,†
9,M021502,1.29,-0.99,0,†,†,†,†
15,M094601,1.63,2.32,0.04,†,†,†,†
3,M134301,0.72,0.12,0.17,†,†,†,†
5,M129801,0.67,-1.43,0.15,†,†,†,†
7,M130601,0.86,0.42,0.19,†,†,†,†
15,M132201,0.86,1.32,†,0.56,-0.56,†,†
8,M134801,0.25,0.75,0.17,†,†,†,†
10,M134001,0.61,-0.23,0.13,†,†,†,†
17,M076901,0.43,2.02,†,-2.2,2.2,†,†
4,M0732CL,0.54,-1.63,†,1.22,0.27,-0.54,-0.95
8,M092201,1.06,-0.4,0.12,†,†,†,†
13,M092601,0.83,0.78,†,-0.39,0.39,†,†
16,M052801,1.16,2.49,0.22,†,†,†,†
3,M013131,0.55,0.27,0,†,†,†,†
8,M073701,0.8,-0.18,0.19,†,†,†,†
11,M076301,0.86,0.71,0.15,†,†,†,†
3,M070801,0.44,-0.03,†,-0.41,0.41,†,†
11,M059701,0.28,2.14,0.18,†,†,†,†
12,M059702,0.6,1.43,0,†,†,†,†
6,M126001,1.08,0.93,0,†,†,†,†
7,M131401,0.45,0.04,0.16,†,†,†,†
12,M132001,0.5,-0.46,0.15,†,†,†,†
18,M129001,0.64,0.7,†,1.63,-0.23,-0.32,-1.09
2,M128801,0.34,0.78,0.16,†,†,†,†
9,M130001,1.39,1.44,0.13,†,†,†,†
10,M127901,0.48,-0.2,0.14,†,†,†,†
16,M127301,0.54,3.95,0.1,†,†,†,†
5,M055901,0.35,-2.44,0.19,†,†,†,†
12,M095201,1.42,1.09,0.15,†,†,†,†
15,M011831,1.35,1.62,0.2,†,†,†,†
16,M076601,0.94,0.86,†,-0.73,0.73,†,†
17,M095401,0.38,-0.12,†,-1.09,1.09,†,†
10,M092701,0.8,-0.09,0.23,†,†,†,†
11,M053201,1.18,0.57,0.23,†,†,†,†
16,M019401,1.48,1.66,0.24,†,†,†,†
17,M019501,1.93,1.6,0.11,†,†,†,†
13,M056101,1.1,0.63,0.24,†,†,†,†
17,M0717CL,2.01,1.8,0,†,†,†,†
19,M094701,0.41,0.65,†,1.71,-0.96,-0.15,-0.6
8,M131501,1.86,1.56,0.04,†,†,†,†
11,M056301,1.04,-0.07,0.11,†,†,†,†
12,M128501,1.76,1.41,0.18,†,†,†,†
14,M130401,1.02,0.9,0.16,†,†,†,†
16,M071001,0.97,1.24,†,-0.05,0.05,†,†
4,M130801,0.83,-0.28,0.14,†,†,†,†
7,M129501,0.92,0.74,0.18,†,†,†,†
11,M134901,0.89,0.26,0.18,†,†,†,†
13,M133301,0.86,0.45,0.14,†,†,†,†
14,M134701,2.31,1.39,0.18,†,†,†,†
15,M129601,0.89,0.62,0.18,†,†,†,†
18,M074101,0.47,0.93,†,-0.43,-0.14,0.57,†
10,M052501,0.72,-0.09,0.23,†,†,†,†
17,M021601,2.82,2.09,0,†,†,†,†
18,M021602,1.78,1.72,0,†,†,†,†
4,M0707CL,0.64,-0.45,†,0.86,-0.37,-0.48,†
14,M076401,1.36,1.31,0.3,†,†,†,†
16,M012031,0.95,0.73,0,†,†,†,†
17,M076501,0.77,1.72,0.15,†,†,†,†
19,M057101,2.42,1.97,0,†,†,†,†
5,M021701,1.4,0.13,0,†,†,†,†
6,M021702,1,-0.31,0,†,†,†,†
7,M092101,0.81,0.33,0.18,†,†,†,†
8,M056401,0.84,0.24,0.26,†,†,†,†
9,M011431,1.22,0.25,0.19,†,†,†,†
10,M059401,1.75,0.98,0.23,†,†,†,†
13,M056201,0.94,0.54,0.25,†,†,†,†
14,M011531,2.19,1.01,0.09,†,†,†,†
15,M059301,1.21,0.81,0.17,†,†,†,†
18,M053401,0.22,1.12,†,2.25,-1.77,1.01,-1.49
4,M127701,1,-0.59,0.17,†,†,†,†
8,M126101,0.59,0.19,0.23,†,†,†,†
11,M128701,1.24,1.25,0.23,†,†,†,†
13,M131201,1.15,1.36,0,†,†,†,†
15,M132301,1.66,1.01,0.1,†,†,†,†
17,M128901,1.48,1.69,0.26,†,†,†,†
5,M127501,0.9,0.45,0.15,†,†,†,†
6,M133101,1,0.87,0.21,†,†,†,†
11,M127101,1.29,0.82,0.27,†,†,†,†
12,M133801,0.51,0.82,†,-1.28,1.28,†,†
14,M127001,1.25,1.04,0.14,†,†,†,†
17,M130101,2.46,1.24,0.15,†,†,†,†
